0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/js/jquery.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/js/scripts.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:32 +0530] "GET /Music/pro2 HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:34 +0530] "GET /Music/product HTTP/1.1" 200 7792
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:34 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:34 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:34 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:34 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/js/scripts.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/js/jquery.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/js/jquery.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:35 +0530] "GET /Music/js/scripts.js HTTP/1.1" 404 996
